Restaurant Name,Match Score,Has App?,App Name Found,Location Link
Cheezious Saddar,100,TRUE,Cheezious,https://www.google.com/maps/place/Cheezious+Saddar/data=!4m7!3m6!1s0x38df95ad46688dab:0x3b73de5c87a1242f!8m2!3d33.5964989!4d73.0530783!16s%2Fg%2F11h5ntgxr_!19sChIJq41oRq2V3zgRLyShh1zeczs?authuser=0&hl=en&rclk=1
Jazeera Food Saddar,100,TRUE,Jazeera Food,https://www.google.com/maps/place/Jazeera+Food+Saddar/data=!4m7!3m6!1s0x38df95352724764b:0xc198d7f1de362ae3!8m2!3d33.5956261!4d73.0542636!16s%2Fg%2F11vf9hkjjl!19sChIJS3YkJzWV3zgR4yo23vHXmME?authuser=0&hl=en&rclk=1
Mexican Chilli's Range Road,100,TRUE,Mexican Chilli's,https://www.google.com/maps/place/Mexican+Chilli%27s+Range+Road/data=!4m7!3m6!1s0x38df95c3b974bc87:0xd70ce62f0d054c18!8m2!3d33.5987396!4d73.0174484!16s%2Fg%2F11f6dlg4gh!19sChIJh7x0ucOV3zgRGEwFDS_mDNc?authuser=0&hl=en&rclk=1
Mexican Chilli's Range Road,100,TRUE,Mexican Chilli's,https://www.google.com/maps/place/Mexican+Chilli%27s+Range+Road/data=!4m7!3m6!1s0x38df95c3b974bc87:0xd70ce62f0d054c18!8m2!3d33.5987396!4d73.0174484!16s%2Fg%2F11f6dlg4gh!19sChIJh7x0ucOV3zgRGEwFDS_mDNc?authuser=0&hl=en&rclk=1
Saddar Food Street,100,TRUE,Food Street,https://www.google.com/maps/place/Saddar+Food+Street/data=!4m7!3m6!1s0x38df948481522095:0x9ce350a073d912f1!8m2!3d33.59904!4d73.04361!16s%2Fg%2F11by_ntwpf!19sChIJlSBSgYSU3zgR8RLZc6BQ45w?authuser=0&hl=en&rclk=1
Crispy Town,100,TRUE,Crispy Town App,https://www.google.com/maps/place/Crispy+Town/data=!4m7!3m6!1s0x38df9595630130e1:0xd6cde9d1567805da!8m2!3d33.5958512!4d73.054778!16s%2Fg%2F11v0swk0wl!19sChIJ4TABY5WV3zgR2gV4VtHpzdY?authuser=0&hl=en&rclk=1
Rooftop Baithak,100,TRUE,Baithak,https://www.google.com/maps/place/Rooftop+Baithak/data=!4m7!3m6!1s0x38df959b2ae3a523:0x41d248b5d14feeb1!8m2!3d33.597981!4d73.0230611!16s%2Fg%2F11mbq3m6g6!19sChIJI6XjKpuV3zgRse5P0bVI0kE?authuser=0&hl=en&rclk=1
Mozzarella Moon,100,TRUE,Mozzarella,https://www.google.com/maps/place/Mozzarella+Moon/data=!4m7!3m6!1s0x38df95ff312cf0db:0x7c5f98d3fb3630cc!8m2!3d33.5971359!4d73.0499494!16s%2Fg%2F11ww968c3_!19sChIJ2_AsMf-V3zgRzDA2-9OYX3w?authuser=0&hl=en&rclk=1
New Rahat Cafe,100,TRUE,Rahat cafe,https://www.google.com/maps/place/New+Rahat+Cafe/data=!4m7!3m6!1s0x38df949cb048e437:0x918da3ffbb51cfa0!8m2!3d33.5965745!4d73.0528696!16s%2Fg%2F1vs1q76g!19sChIJN-RIsJyU3zgRoM9Ru_-jjZE?authuser=0&hl=en&rclk=1
Food Corner,100,TRUE,MA Food Corner,https://www.google.com/maps/place/Food+Corner/data=!4m7!3m6!1s0x38df949d3067ccaf:0xac975a2b4d658c5d!8m2!3d33.5938136!4d73.0530113!16s%2Fg%2F11clmscgjr!19sChIJr8xnMJ2U3zgRXYxlTStal6w?authuser=0&hl=en&rclk=1
Marco Polo,95,TRUE,MarcoPolo World School,https://www.google.com/maps/place/Marco+Polo/data=!4m7!3m6!1s0x38df9363bbf56dd5:0x8866bf46d782ffa7!8m2!3d33.5884865!4d73.0561742!16s%2Fg%2F11cs3vdqcy!19sChIJ1W31u2OT3zgRp_-C10a_Zog?authuser=0&hl=en&rclk=1
Roll king,89,TRUE,Rolls King,https://www.google.com/maps/place/Roll+king/data=!4m7!3m6!1s0x38df95d50faa9c7d:0xe638000260b20a3d!8m2!3d33.5977008!4d73.0292881!16s%2Fg%2F11h23ftmrr!19sChIJfZyqD9WV3zgRPQqyYAIAOOY?authuser=0&hl=en&rclk=1
Tai-Pan,86,TRUE,TAI PAN Express,https://www.google.com/maps/place/Tai-Pan/data=!4m7!3m6!1s0x38df9363b863e40f:0x38704391b088c990!8m2!3d33.5887985!4d73.0566849!16s%2Fg%2F11c1ty_th2!19sChIJD-RjuGOT3zgRkMmIsJFDcDg?authuser=0&hl=en&rclk=1
The Monal Rawalpindi,85,TRUE,The Monal Group,https://www.google.com/maps/place/The+Monal+Rawalpindi/data=!4m7!3m6!1s0x38df94be3c44d621:0xd6771cd06beb31d6!8m2!3d33.595134!4d73.0573332!16s%2Fg%2F11bzt9sp_5!19sChIJIdZEPL6U3zgR1jHra9Acd9Y?authuser=0&hl=en&rclk=1
China Xinjiang Restaurant,84,TRUE,China Restaurant,https://www.google.com/maps/place/China+Xinjiang+Restaurant/data=!4m7!3m6!1s0x38df94961c5cca2b:0xd5969b1e9f8a707b!8m2!3d33.6089272!4d73.0639806!16s%2Fg%2F11b70ltr9z!19sChIJK8pcHJaU3zgRe3CKnx6bltU?authuser=0&hl=en&rclk=1
Butt Karahi By Usman Tahir (Sadar Branch),83,TRUE,Butt Karahi Tikka,https://www.google.com/maps/place/Butt+Karahi+By+Usman+Tahir+%28Sadar+Branch%29/data=!4m7!3m6!1s0x38df956079bfa7b3:0x3bb38f3c7280daf1!8m2!3d33.5968927!4d73.0490282!16s%2Fg%2F11p9v523xk!19sChIJs6e_eWCV3zgR8dqAcjyPszs?authuser=0&hl=en&rclk=1
Usmania Restaurant,83,TRUE,Papa's Restaurant,https://www.google.com/maps/place/Usmania+Restaurant/data=!4m7!3m6!1s0x38df93661dbf701b:0xa2e9d40c0e4d4aeb!8m2!3d33.5820334!4d73.0592283!16s%2Fg%2F1hc1__ymw!19sChIJG3C_HWaT3zgR60pNDgzU6aI?authuser=0&hl=en&rclk=1
International Burger,82,TRUE,Faisal Burger,https://www.google.com/maps/place/International+Burger/data=!4m7!3m6!1s0x38df9483659998fd:0xb5cf11d74f451030!8m2!3d33.5963537!4d73.0504384!16s%2Fg%2F11cjkgzlxg!19sChIJ_ZiZZYOU3zgRMBBFT9cRz7U?authuser=0&hl=en&rclk=1
Blue Lagoon Complex,81,TRUE,Blue Lagoon Cruises,https://www.google.com/maps/place/Blue+Lagoon+Complex/data=!4m7!3m6!1s0x38df9363116f2eb7:0xf7d17790e5129590!8m2!3d33.5885625!4d73.0545625!16s%2Fg%2F11xbynbg8!19sChIJty5vEWOT3zgRkJUS5ZB30fc?authuser=0&hl=en&rclk=1
Haq Bahoo,80,TRUE,Kalam e Bahoo,https://www.google.com/maps/place/Haq+Bahoo/data=!4m7!3m6!1s0x38df9413aa84c399:0xadbf75e6a1bacd18!8m2!3d33.5993155!4d73.0152165!16s%2Fg%2F11g9qbs4q8!19sChIJmcOEqhOU3zgRGM26oeZ1v60?authuser=0&hl=en&rclk=1
Diva Restaurant,80,TRUE,Restaurant Cafe Idle Tycoon,https://www.google.com/maps/place/Diva+Restaurant/data=!4m7!3m6!1s0x38df935ab9797b83:0x43f78a0ec42f8b82!8m2!3d33.5850641!4d73.0749273!16s%2Fg%2F1tffmql0!19sChIJg3t5uVqT3zgRgosvxA6K90M?authuser=0&hl=en&rclk=1
Haq Bahoo,80,TRUE,Kalam e Bahoo,https://www.google.com/maps/place/Haq+Bahoo/data=!4m7!3m6!1s0x38df9413aa84c399:0xadbf75e6a1bacd18!8m2!3d33.5993155!4d73.0152165!16s%2Fg%2F11g9qbs4q8!19sChIJmcOEqhOU3zgRGM26oeZ1v60?authuser=0&hl=en&rclk=1
Diva Restaurant,80,TRUE,Restaurant Cafe Idle Tycoon,https://www.google.com/maps/place/Diva+Restaurant/data=!4m7!3m6!1s0x38df935ab9797b83:0x43f78a0ec42f8b82!8m2!3d33.5850641!4d73.0749273!16s%2Fg%2F1tffmql0!19sChIJg3t5uVqT3zgRgosvxA6K90M?authuser=0&hl=en&rclk=1
Kababish Restaurant,80,TRUE,Restaurant Guru,https://www.google.com/maps/place/Kababish+Restaurant/data=!4m7!3m6!1s0x38df94e9ecd2b57f:0xea2197977e1f204!8m2!3d33.621475!4d73.0624536!16s%2Fg%2F12mkzj6rt!19sChIJf7XS7OmU3zgRBPLhd3kZog4?authuser=0&hl=en&rclk=1
New Haleem Markaz,80,TRUE,HaleemGhar,https://www.google.com/maps/place/New+Haleem+Markaz/data=!4m7!3m6!1s0x38df9517122ec47d:0xb8f8168a4ea54759!8m2!3d33.6004196!4d73.0530892!16s%2Fg%2F11gj0xpnqt!19sChIJfcQuEheV3zgRWUelTooW-Lg?authuser=0&hl=en&rclk=1
Nawab Tikka House نواب تکہ ہاوس,79,FALSE,N/A,https://www.google.com/maps/place/Nawab+Tikka+House+%D9%86%D9%88%D8%A7%D8%A8+%D8%AA%DA%A9%DB%81+%DB%81%D8%A7%D9%88%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x38df949ab677870d:0x58075417da6c9148!8m2!3d33.6014841!4d73.052719!16s%2Fg%2F12mkzk63n!19sChIJDYd3tpqU3zgRSJFs2hdUB1g?authuser=0&hl=en&rclk=1
Larosh Restaurant,79,FALSE,N/A,https://www.google.com/maps/place/Larosh+Restaurant/data=!4m7!3m6!1s0x38df94be5675ec2d:0x72164f33aae3e5ff!8m2!3d33.612594!4d73.06631!16s%2Fg%2F11x9nkysp!19sChIJLex1Vr6U3zgR_-XjqjNPFnI?authuser=0&hl=en&rclk=1
Dampukh restaurant,77,FALSE,N/A,https://www.google.com/maps/place/Dampukh+restaurant/data=!4m7!3m6!1s0x38df95006783935b:0xf5b5f9a80fbc526!8m2!3d33.6151875!4d72.9946875!16s%2Fg%2F11yh55r6rp!19sChIJW5ODZwCV3zgRJsX7gJpfWw8?authuser=0&hl=en&rclk=1
Zanfu,75,FALSE,N/A,https://www.google.com/maps/place/Zanfu/data=!4m7!3m6!1s0x38df950021132dcf:0xe1644f9272db918a!8m2!3d33.5972107!4d73.0026793!16s%2Fg%2F11mzfg06lg!19sChIJzy0TIQCV3zgRipHbcpJPZOE?authuser=0&hl=en&rclk=1
Yak Restaurant (Rooftop),74,FALSE,N/A,https://www.google.com/maps/place/Yak+Restaurant+%28Rooftop%29/data=!4m7!3m6!1s0x38df930bdac37039:0x7f64cd9bef6825b2!8m2!3d33.5938568!4d73.0556979!16s%2Fg%2F11k519h8c4!19sChIJOXDD2guT3zgRsiVo75vNZH8?authuser=0&hl=en&rclk=1
Lasania Restaurant,74,FALSE,N/A,https://www.google.com/maps/place/Lasania+Restaurant/data=!4m7!3m6!1s0x38df953b780968ad:0xf330b02cf9245da!8m2!3d33.5959805!4d73.0590025!16s%2Fg%2F11fp1r4zx9!19sChIJrWgJeDuV3zgR2kWSzwILMw8?authuser=0&hl=en&rclk=1
Fish Fry Point,74,FALSE,N/A,https://www.google.com/maps/place/Fish+Fry+Point/data=!4m7!3m6!1s0x38df950046954c75:0x98a8c529dbf83063!8m2!3d33.5959391!4d73.0047886!16s%2Fg%2F11vl_g17w_!19sChIJdUyVRgCV3zgRYzD42ynFqJg?authuser=0&hl=en&rclk=1
Pizza Crunch,74,FALSE,N/A,https://www.google.com/maps/place/Pizza+Crunch/data=!4m7!3m6!1s0x38df95043f1495ad:0x83d6c56ba6e511ac!8m2!3d33.6004352!4d73.0080161!16s%2Fg%2F11qrqd96gj!19sChIJrZUUPwSV3zgRrBHlpmvF1oM?authuser=0&hl=en&rclk=1
4yaar roof top,74,FALSE,N/A,https://www.google.com/maps/place/4yaar+roof+top/data=!4m7!3m6!1s0x38df95ca5f10a859:0x379d1d2f1302c44a!8m2!3d33.5982264!4d73.0197236!16s%2Fg%2F11jzrh54v7!19sChIJWagQX8qV3zgRSsQCEy8dnTc?authuser=0&hl=en&rclk=1
Anarkali Restaurant,74,FALSE,N/A,https://www.google.com/maps/place/Anarkali+Restaurant/data=!4m7!3m6!1s0x38df95208f99662d:0x75cbfc70d9fb51e4!8m2!3d33.6382599!4d73.06774!16s%2Fg%2F11gf9p0hwg!19sChIJLWaZjyCV3zgR5FH72XD8y3U?authuser=0&hl=en&rclk=1
Mustafa Darul Mahi Fry Fish & Bar B.Q Fish,73,FALSE,N/A,https://www.google.com/maps/place/Mustafa+Darul+Mahi+Fry+Fish+%26+Bar+B.Q+Fish/data=!4m7!3m6!1s0x38df949b2e641bdb:0x191308280746964c!8m2!3d33.5996582!4d73.0528646!16s%2Fg%2F12mkzk587!19sChIJ2xtkLpuU3zgRTJZGBygIExk?authuser=0&hl=en&rclk=1
Javed Peshawari Fish House,71,FALSE,N/A,https://www.google.com/maps/place/Javed+Peshawari+Fish+House/data=!4m7!3m6!1s0x38df95c1a92b09c9:0x5942d4b59b6767b6!8m2!3d33.5997705!4d73.052755!16s%2Fg%2F11fjyy21dv!19sChIJyQkrqcGV3zgRtmdnm7XUQlk?authuser=0&hl=en&rclk=1
Nikoo Gee Restaurant,70,FALSE,N/A,https://www.google.com/maps/place/Nikoo+Gee+Restaurant/data=!4m7!3m6!1s0x38df938b36ee71b9:0x22b8e41799a11bc2!8m2!3d33.5830074!4d73.0174411!16s%2Fg%2F12mkz8hj9!19sChIJuXHuNouT3zgRwhuhmRfkuCI?authuser=0&hl=en&rclk=1
